Product Name
פיתות כוסמין - 100% כוסמין מלא 8 יחידות
10 פיתות 100% קמח כוסמין מלא
עשיריית פיתות
6 פיתות 100% קמח כוסמין מלא
טורטיה בסיס להכנת פיצה
טורטיה מקמח חיטה מקסיקנית
טורטיה מקמח חיטה מקסיקנית
טורטיה מקמח חיטה
טורטיה מקמח חיטה מלאה
טורטיה מקמח תירס
טורטיה מקמח חיטה
לחם אחיד פרוס
לחם כוסמין קל
מיני טורטיה מקמח חיטה
מיני טורטיה מקמח סובין וחיטה
טורטייה
טורטייה
לחם אחיד פרוס
לחם מלא פרוס בתוספת גרעינים ודגנים
לחם בסגנון אמריקה
לחם שיפון קל פרוס
רביעיית לחמניות פרנה
עשיריית לחמניות ביס פרנה
לחם מחמצת וכוסמין
10 לחמניות בשקית
לחמניות עננים
הלחמניה
לחמניות המבורגר בסגנון אמריקה
לחמניות ארוכות בסגנון אמריקה
6 לחמניות 100% כוסמין
