Product Name
עגבניה
מלפפון
פלפל כהה
פלפל אדום
פלפל צהוב
פלפל כתום
לימון
בצל יבש
בצל אדום
חציל
קישוא ירוק
כרוב לבן
כרוב אדום
תפוח אדמה לבן ארוז
"תפו""א לאפיה"
תפוח אדמה לבן במשקל
תפוח אדמה אדום ארוז
פלפל חריף
אבוקדו
בטטה
שומר
דלורית
תירס טרי
סלק אדום
צנון
קולורבי
חצילים בלדי
עגבניות שרי קלמר
עגבניות שרי תמר
עגבניות שרי ליקופן
