Product Name
חזה שלם טרי מהדרין
ירכיים עוף טרי מהדרין
כבד עוף טרי לצלייה בלבד מהדרין
כנפיים עוף טרי מהדרין
כרעיים עוף טרי מהדרין
לב עוף טרי מהד
עוף טרי מהדרין
פילה עוף טרי מהדרין
שווארמה עוף טרי מהדרין
שוקיים עוף טרי מהדרין
שניצל עוף טרי מהדרין
כבד עוף טרי
חזה עוף פרימיום
כנפיים פרימיום
כרעיים פרימיום
סטייק פרגית פרמיום
שוקיים פרימיום
שיפודי שווארמה (פרגית)
רבעי פרגיות ממולאות
רבעי פרגיות ממולאות
בשר הודו טחון
בשר עוף טחון
הודו טחון
מוצר בשר הודו אדום מתובל טחון
טחון עוף 500 גרם
חזה עוף מחפוד
ירכיים עוף מחפוד
כבד עוף קפוא מחפוד
כנפיים עוף מחפוד
כרעיים עוף מחפוד
