Product Name
קפה טורקי 4*100 גרם
קפה טורקי (שלישיה)
קפה עלית אלדין 200 גר ואקום
קפה טורקי עלית 125 גר
קפה עלית טורקי מארז 125 גר*3
מארז רביעיה קפה מקורי
קפה קלוי וטחון בלי הל
קפה קלוי וטחון עם הל 250 גרם
קפה קלוי וטחון עם הל 500 גרם
קפה נח'לה אדום בלי הל
קפה טורקי האג 200 גרם
פולי קפה קלויים 1 קג
ספרינג תפ אגס סב 250(4)
ספרינג פ. טרופים 250(4)
קרטוניות פריגת בטעם פירות
קרטוניות פריגת בטעם תפוחים
מארז נמס לדרך
משקה קפה בטעם וניל
משקה קפה בטעם קלאסי
קפה נמס עלית 200 ג'
קפה נמס עלית 50 גרם
אבקה בטעם וניל 200 גרם
אבקה בטעם מוקה 200 גרם
קפוצ'ינו בטעם קלאסי
קפוצ'ינו בטעם אגוזים
קפוצ'ינו בטעם וניל
קפוצ'ינו בטעם קרמל
האג נטול קפאין 200 גרם
האג נמס נטול קפאין
צ'יקו 65 גרם
